poss_logfile	elapsed	vox/s	voxT0	voxT1	voxT2	expectedsec	remainingsec
possumlog_0112	78963	0.063	8403?	8403?	8403?	402218.3	323255.3
possumlog_0113	51562	0.416	7991	9923	3546	51562	0
possumlog_0114	51820	0.411	7837	10173	3288	51820	0
possumlog_0115	55954	0.380	8012	10216	3062	55954	0
possumlog_0116	79042	0.221	8044	11311?	9677?	131266.4	52224.4
possumlog_0117	73739	0.285	7991	9930	3088	73739	0
possumlog_0118	77760	0.270	8014	9697	3283	77760	0
possumlog_0119	53009	0.395	8065	9361	3517	53009	0
possumlog_0120	55305	0.376	8104	8966	3733	55305	0
possumlog_0121	79069	0.254	8246	8688	3697?	81210.4	2141.39999999999
possumlog_0122	50974	0.412	8344	8542	4115	50974	0
possumlog_0123	65430	0.318	8300	8410	4066	65430	0
possumlog_0124	56313	0.366	8319	8332	3977	56313	0
possumlog_0125	72629	0.283	8402	8240	3922	72629	0
possumlog_0126	54926	0.369	8401	7995	3895	54926	0
possumlog_0127	55634	0.363	8425	7955	3824	55634	0
possumlog_0128	71472	0.284	8522	8017	3736	71472	0
possumlog_0129	54205	0.372	8465	8204	3471	54205	0
possumlog_0130	79135	0.237	8108	8354	3024?	82101.4	2966.39999999999
possumlog_0131	48823	0.404	8322	8211	3209	48823	0
possumlog_0132	48727	0.401	8523	7758	3254	48727	0
possumlog_0133	54187	0.358	8700	7290	3434	54187	0
possumlog_0134	63254	0.306	8760	6892	3726	63254	0
possumlog_0135	48037	0.400	8741	6532	3936	48037	0
possumlog_0136	50034	0.378	8739	6154	4038	50034	0
possumlog_0137	56422	0.333	8889	5757	4164	56422	0
possumlog_0138	79088	0.107	10142?	10142?	10142?	284369.1	205281.1
possumlog_0139	78452	0.115	8932	353?	4642?	121055.1	42603.1
possumlog_0140	61227	0.298	8767	4726	4763	61227	0
possumlog_0141	46252	0.388	8592	4613	4761	46252	0
possumlog_0142	47950	0.364	8360	4497	4612	47950	0
possumlog_0143	50497	0.339	8259	4387	4464	50497	0
possumlog_0144	48807	0.342	8242	4199	4269	48807	0
possumlog_0145	54996	0.297	8242	3894	4178	54996	0
possumlog_0146	61840	0.256	8115	3645	4089	61840	0
possumlog_0147	46576	0.333	7922	3518	4064	46576	0
possumlog_0148	41621	0.361	7582	3357	4070	41621	0
possumlog_0149	58948	0.248	7329	3202	4102	58948	0
possumlog_0150	78981	0.093	7038	866?	3952?	127557.4	48576.4
possumlog_0151	65681	0.203	6804	2616	3903	65681	0
possumlog_0152	78786	0.082	8147?	8147?	8147?	298636.6	219850.6
possumlog_0153	35264	0.338	6373	2067	3486	35264	0
possumlog_0154	79047	0.132	6039	1910	3639?	88041.9	8994.89999999999
possumlog_0155	44525	0.239	5623	1759	3270	44525	0
possumlog_0156	30131	0.334	5266	1634	3167	30131	0
possumlog_0157	41113	0.227	4906	1463	2960	41113	0
possumlog_0158	29960	0.293	4656	1329	2798	29960	0
possumlog_0159	25485	0.320	4332	1231	2595	25485	0
possumlog_0160	78923	0.082	4030	1034	2299?	90138.2	11215.2
possumlog_0161	25804	0.265	3766	825	2256	25804	0
possumlog_0162	24087	0.254	3395	601	2111	24087	0
possumlog_0163	17729	0.311	3057	450	2015	17729	0
possumlog_0164	20274	0.239	2601	320	1920	20274	0
possumlog_0165	20782	0.193	2085	153	1770	20782	0
possumlog_0166	11921	0.265	1522	19	1620	11921	0
possumlog_0167	7877	0.262	916	0	1146	7877	0
possumlog_0168	6441	0.200	609	0	682	6441	0
possumlog_0169	3932	0.111	101	0	334	3932	0
possumlog_0170	1774	0.000	0	0	0	1774	0
possumlog_0171	1789	0.000	0	0	0	1789	0
possumlog_0172	1779	0.000	0	0	0	1779	0
possumlog_0173	1785	0.000	0	0	0	1785	0
possumlog_0174	1808	0.000	0	0	0	1808	0
possumlog_0175	1733	0.000	0	0	0	1733	0
possumlog_0176	1924	0.000	0	0	0	1924	0
possumlog_0177	1880	0.000	0	0	0	1880	0
possumlog_0178	1834	0.000	0	0	0	1834	0
possumlog_0179	1948	0.000	0	0	0	1948	0
possumlog_0180	1871	0.000	0	0	0	1871	0
possumlog_0181	1787	0.000	0	0	0	1787	0
possumlog_0182	1902	0.000	0	0	0	1902	0
possumlog_0183	1904	0.000	0	0	0	1904	0
possumlog_0184	1913	0.000	0	0	0	1913	0
possumlog_0185	1823	0.000	0	0	0	1823	0
possumlog_0186	1960	0.000	0	0	0	1960	0
possumlog_0187	1971	0.000	0	0	0	1971	0
possumlog_0188	1972	0.000	0	0	0	1972	0
possumlog_0189	1923	0.000	0	0	0	1923	0
possumlog_0190	1980	0.000	0	0	0	1980	0
possumlog_0191	1876	0.000	0	0	0	1876	0
possumlog_0192	1983	0.000	0	0	0	1983	0
possumlog_0193	2010	0.000	0	0	0	2010	0
possumlog_0194	2015	0.000	0	0	0	2015	0
possumlog_0195	1977	0.000	0	0	0	1977	0
possumlog_0196	1934	0.000	0	0	0	1934	0
possumlog_0197	2060	0.000	0	0	0	2060	0
possumlog_0198	2070	0.000	0	0	0	2070	0
possumlog_0199	2058	0.000	0	0	0	2058	0
possumlog_0200	2064	0.000	0	0	0	2064	0
possumlog_0201	2082	0.000	0	0	0	2082	0
possumlog_0202	1993	0.000	0	0	0	1993	0
possumlog_0203	2095	0.000	0	0	0	2095	0
possumlog_0204	2107	0.000	0	0	0	2107	0
possumlog_0205	2102	0.000	0	0	0	2102	0
possumlog_0206	2153	0.000	0	0	0	2153	0
possumlog_0207	2143	0.000	0	0	0	2143	0
possumlog_0208	2150	0.000	0	0	0	2150	0
possumlog_0209	2060	0.000	0	0	0	2060	0
possumlog_0210	2192	0.000	0	0	0	2192	0
possumlog_0211	2184	0.000	0	0	0	2184	0
possumlog_0212	2216	0.000	0	0	0	2216	0
possumlog_0213	2204	0.000	0	0	0	2204	0
possumlog_0214	2169	0.000	0	0	0	2169	0
possumlog_0215	2234	0.000	0	0	0	2234	0
possumlog_0216	2232	0.000	0	0	0	2232	0
possumlog_0217	2239	0.000	0	0	0	2239	0
possumlog_0218	2143	0.000	0	0	0	2143	0
possumlog_0219	2305	0.000	0	0	0	2305	0
possumlog_0220	2269	0.000	0	0	0	2269	0
possumlog_0221	2276	0.000	0	0	0	2276	0
possumlog_0222	2304	0.000	0	0	0	2304	0
possumlog_0223	2303	0.000	0	0	0	2303	0
possumlog_0224	2358	0.000	0	0	0	2358	0
possumlog_0225	2319	0.000	0	0	0	2319	0
possumlog_0226	2367	0.000	0	0	0	2367	0
possumlog_0227	2342	0.000	0	0	0	2342	0
possumlog_0228	2336	0.000	0	0	0	2336	0
possumlog_0229	2368	0.000	0	0	0	2368	0
possumlog_0230	2248	0.000	0	0	0	2248	0
possumlog_0231	2411	0.000	0	0	0	2411	0
possumlog_0232	2410	0.000	0	0	0	2410	0
possumlog_0233	2464	0.000	0	0	0	2464	0
possumlog_0234	2268	0.000	0	0	0	2268	0
possumlog_0235	2399	0.000	0	0	0	2399	0
possumlog_0236	2315	0.000	0	0	0	2315	0
possumlog_0237	2445	0.000	0	0	0	2445	0
possumlog_0238	2462	0.000	0	0	0	2462	0
possumlog_0239	2469	0.000	0	0	0	2469	0
possumlog_0240	2455	0.000	0	0	0	2455	0
possumlog_0241	2468	0.000	0	0	0	2468	0
possumlog_0242	2398	0.000	0	0	0	2398	0
possumlog_0243	2496	0.000	0	0	0	2496	0
possumlog_0244	2523	0.000	0	0	0	2523	0
possumlog_0245	2542	0.000	0	0	0	2542	0
possumlog_0246	2543	0.000	0	0	0	2543	0
possumlog_0247	2554	0.000	0	0	0	2554	0
possumlog_0248	2541	0.000	0	0	0	2541	0
possumlog_0249	2542	0.000	0	0	0	2542	0
possumlog_0250	2474	0.000	0	0	0	2474	0
possumlog_0251	2570	0.000	0	0	0	2570	0
possumlog_0252	2487	0.000	0	0	0	2487	0
possumlog_0253	2559	0.000	0	0	0	2559	0
possumlog_0254	2602	0.000	0	0	0	2602	0
possumlog_0255	2617	0.000	0	0	0	2617	0
possumlog_0256	2597	0.000	0	0	0	2597	0
